PERMNO,date,TICKER,PRC,ewretd
92611,20090708,V,59.49,-0.01097
92611,20090709,V,60.44,0.005021
92611,20090710,V,59.86,-0.000116
92611,20090713,V,60.35,0.016221
92611,20090714,V,60.29,0.008311
92611,20090715,V,62.65,0.029617
92611,20090716,V,64.41,0.008224
92611,20090717,V,64.1,-0.001876
92611,20090720,V,67.12,0.015346
92611,20090721,V,67.15,-0.00175
92611,20090722,V,66.85,0.006326
92611,20090723,V,67.19,0.022672
92611,20090724,V,67.29,0.006538
92611,20090727,V,68.19,0.007161
92611,20090728,V,66.3,0.001287
92611,20090729,V,66.78,-0.005145
92611,20090730,V,67.21,0.015049
92611,20090731,V,65.46,0.004968
92611,20090803,V,69.11,0.019051
92611,20090804,V,69.1,0.006835
92611,20090805,V,68.38,0.000603
92611,20090806,V,68.65,-0.007208
92611,20090807,V,69.17,0.017849
92611,20090810,V,68.88,0.002095
92611,20090811,V,68.61,-0.011713
92611,20090812,V,68.45,0.012435
92611,20090813,V,68.68,0.007157
92611,20090814,V,67.8,-0.012073
92611,20090817,V,66.43,-0.025879
92611,20090818,V,67.01,0.015007
92611,20090819,V,67.2,0.00659
92611,20090820,V,67.81,0.010307
92611,20090821,V,69,0.016437
92611,20090824,V,67.95,0.00105
92611,20090825,V,68.98,0.005311
92611,20090826,V,70.2,0.003465
92611,20090827,V,69.71,0.002991
92611,20090828,V,70.5,-0.001743
92611,20090831,V,71.1,-0.009
92611,20090901,V,70.18,-0.019637
92611,20090902,V,70.1,-0.000628
92611,20090903,V,70.91,0.010589
92611,20090904,V,70.36,0.01322
92611,20090908,V,70.95,0.011746
92611,20090909,V,70.48,0.01166
92611,20090910,V,72.31,0.012918
92611,20090911,V,72.29,0.002029
92611,20090914,V,72.87,0.008107
92611,20090915,V,73.2,0.009201
92611,20090916,V,74.09,0.017454
92611,20090917,V,73.82,-0.00003
92611,20090918,V,73.79,0.002461
92611,20090921,V,73.39,-0.001788
92611,20090922,V,74.41,0.009561
92611,20090923,V,73.92,-0.004688
92611,20090924,V,73.53,-0.015964
92611,20090925,V,70.66,-0.002444
92611,20090928,V,71.14,0.015758
92611,20090929,V,69.57,0.000061
92611,20090930,V,69.11,-0.004316
92611,20091001,V,69.12,-0.024204
92611,20091002,V,67.79,-0.006507
92611,20091005,V,68.16,0.015677
92611,20091006,V,68.26,0.013401
92611,20091007,V,70.86,0.002384
92611,20091008,V,71.73,0.009296
92611,20091009,V,72.94,0.006573
92611,20091012,V,73.7,0.000513
92611,20091013,V,74.67,-0.00048
92611,20091014,V,74.8,0.014102
92611,20091015,V,75.08,0.00013
92611,20091016,V,74.29,-0.006059
92611,20091019,V,74.95,0.007874
92611,20091020,V,75.05,-0.009123
92611,20091021,V,75.19,-0.006952
92611,20091022,V,75.69,0.006973
92611,20091023,V,74.12,-0.013168
92611,20091026,V,72.78,-0.01299
92611,20091027,V,73.9,-0.010169
92611,20091028,V,76.57,-0.030392
92611,20091029,V,77.28,0.020349
92611,20091030,V,75.76,-0.023885
92611,20091102,V,77.29,-0.001022
92611,20091103,V,77.65,0.009401
92611,20091104,V,78.31,-0.002387
92611,20091105,V,79.59,0.020275
92611,20091106,V,79.67,-0.000597
92611,20091109,V,81.16,0.01569
92611,20091110,V,81.1,-0.006304
92611,20091111,V,80.82,0.005813
92611,20091112,V,79.92,-0.014038
92611,20091113,V,80,0.00789
92611,20091116,V,79.55,0.016714
92611,20091117,V,80.55,-0.001824
92611,20091118,V,80.39,-0.001355
92611,20091119,V,80.18,-0.014576
92611,20091120,V,80,-0.001469
92611,20091123,V,80.44,0.010755
92611,20091124,V,80.62,-0.002305
92611,20091125,V,81.79,0.003686
92611,20091127,V,80.33,-0.016734
92611,20091130,V,81,0.002433
92611,20091201,V,82.97,0.012539
92611,20091202,V,82.22,0.005848
92611,20091203,V,80.03,-0.006843
92611,20091204,V,80.27,0.011082
92611,20091207,V,79.93,0.001961
92611,20091208,V,79.99,-0.007915
92611,20091209,V,81.75,0.00219
92611,20091210,V,82.32,-0.00118
92611,20091211,V,81.34,0.005236
92611,20091214,V,84.77,0.009914
92611,20091215,V,86.14,-0.004277
92611,20091216,V,87.03,0.005027
92611,20091217,V,87.03,-0.010307
92611,20091218,V,88.97,0.005057
92611,20091221,V,87.51,0.009406
92611,20091222,V,86.3,0.005825
92611,20091223,V,86.15,0.008581
92611,20091224,V,86.29,0.005349
92611,20091228,V,86.76,-0.000148
92611,20091229,V,88.02,0.001686
92611,20091230,V,88.14,0.000497
92611,20091231,V,87.46,-0.002657
92611,20100104,V,88.14,0.01912
92611,20100105,V,87.13,0.002475
92611,20100106,V,85.96,0.00321
92611,20100107,V,86.76,0.006887
92611,20100108,V,87,0.00723
92611,20100111,V,86.75,0.003568
92611,20100112,V,86.34,-0.01017
92611,20100113,V,87.14,0.00889
92611,20100114,V,87.44,0.004431
92611,20100115,V,86.14,-0.008664
92611,20100119,V,87.85,0.011286
92611,20100120,V,87.42,-0.009048
92611,20100121,V,84.45,-0.014191
92611,20100122,V,82.73,-0.014432
92611,20100125,V,82.03,0.000975
92611,20100126,V,81.15,-0.006016
92611,20100127,V,83.91,0.00188
92611,20100128,V,82.65,-0.008876
92611,20100129,V,82.03,-0.008187
92611,20100201,V,83.66,0.011349
92611,20100202,V,84.01,0.008665
92611,20100203,V,83.52,-0.003824
92611,20100204,V,83.05,-0.028128
92611,20100205,V,82.56,0.000458
92611,20100208,V,83.05,-0.005335
92611,20100209,V,83.27,0.011905
92611,20100210,V,83.64,0.000019
92611,20100211,V,85.14,0.012792
92611,20100212,V,84.78,0.003123
92611,20100216,V,85.88,0.014436
92611,20100217,V,86.42,0.005052
92611,20100218,V,86.96,0.00438
92611,20100219,V,86.81,0.00196
92611,20100222,V,86.91,0.001982
92611,20100223,V,86.12,-0.008435
92611,20100224,V,85.63,0.005359
92611,20100225,V,85.23,-0.000977
92611,20100226,V,85.28,0.001597
92611,20100301,V,86.82,0.012952
92611,20100302,V,86.45,0.007842
92611,20100303,V,86.8,0.002859
92611,20100304,V,87.04,0.004644
92611,20100305,V,88.51,0.015175
92611,20100308,V,90.63,0.003796
92611,20100309,V,90.15,0.002511
92611,20100310,V,91.52,0.006236
92611,20100311,V,92.74,0.00327
92611,20100312,V,93.25,0.000601
92611,20100315,V,92.41,-0.003177
92611,20100316,V,91.65,0.007168
92611,20100317,V,91.51,0.00472
92611,20100318,V,90.13,-0.002675
92611,20100319,V,88.84,-0.007943
92611,20100322,V,89.24,0.00629
92611,20100323,V,89.98,0.00846
92611,20100324,V,88.75,-0.005124
92611,20100325,V,90.41,-0.003449
92611,20100326,V,90.25,0.00086
92611,20100329,V,90.24,0.005706
92611,20100330,V,91,0.001622
92611,20100331,V,91.03,-0.002941
92611,20100401,V,92.55,0.006961
92611,20100405,V,92.47,0.013157
92611,20100406,V,92.4,0.005226
92611,20100407,V,90.71,-0.000953
92611,20100408,V,91.49,0.002693
